Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,76.120003,76.209999,75.540001,76.070000,58.460114,2347700
2014-01-08,76.000000,76.389999,75.330002,76.070000,58.460114,2428900
2014-01-15,76.260002,76.570000,75.589996,76.040001,58.437057,2562400
2014-01-22,76.199997,76.199997,73.260002,74.080002,56.930798,4334100
2014-01-29,73.589996,74.260002,71.820000,72.260002,55.532120,5423100
2014-02-05,72.059998,74.919998,71.639999,74.760002,57.453373,3004100
2014-02-12,74.870003,75.739998,74.190002,75.610001,58.106606,2984100
2014-02-19,75.410004,76.480003,75.040001,75.790001,58.244926,2930000
2014-02-26,75.989998,77.220001,75.529999,77.059998,59.220932,2929800
2014-03-05,77.089996,77.660004,76.849998,77.000000,59.174831,3814600
2014-03-12,76.599998,77.459999,76.040001,77.379997,59.466839,4323900
2014-03-19,77.410004,78.250000,76.529999,77.430000,59.505280,4762400
2014-03-26,77.800003,78.410004,76.709999,78.349998,60.548775,3756100
2014-04-02,78.470001,79.150002,76.860001,77.410004,59.822346,3600900
2014-04-09,77.650002,78.120003,76.019997,77.150002,59.621426,5376500
2014-04-16,77.669998,78.610001,77.339996,78.400002,60.587399,3262700
2014-04-23,78.459999,78.709999,77.589996,78.550003,60.703331,6210300
2014-04-30,78.449997,78.919998,77.779999,77.809998,60.131458,3241000
2014-05-07,78.169998,79.339996,77.779999,79.250000,61.244286,4160500
2014-05-14,79.260002,79.269997,77.800003,78.000000,60.278297,3045700
2014-05-21,78.320000,79.360001,78.290001,79.290001,61.275215,3326900
2014-05-28,79.330002,80.050003,79.199997,79.980003,61.808437,2623100
2014-06-04,79.830002,81.260002,79.830002,81.110001,62.681709,2067200
2014-06-11,80.820000,80.930000,80.040001,80.879997,62.503952,3356000
2014-06-18,80.919998,82.000000,80.760002,80.879997,62.503952,2868800
2014-06-25,80.709999,81.660004,80.459999,81.430000,63.279789,2694500
2014-07-02,81.440002,81.870003,81.019997,81.169998,63.077755,1608300
2014-07-09,81.349998,81.860001,80.570000,81.650002,63.450741,2838200
2014-07-16,81.989998,82.360001,81.290001,82.239998,63.909229,2374300
2014-07-23,82.290001,82.510002,81.639999,81.699997,63.489605,2140500
2014-07-30,81.940002,82.000000,79.160004,79.430000,61.725582,3643500
2014-08-06,78.940002,80.370003,78.750000,79.970001,62.145206,2913300
2014-08-13,80.290001,81.660004,80.089996,81.589996,63.404099,3357000
2014-08-20,81.430000,82.699997,81.410004,82.449997,64.072418,3086000
2014-08-27,82.489998,82.849998,82.150002,82.570000,64.165688,1982100
2014-09-03,82.889999,83.120003,82.180000,82.309998,63.963627,4973700
2014-09-10,82.349998,83.110001,82.010002,82.940002,64.453224,4381300
2014-09-17,83.080002,83.889999,82.300003,82.309998,63.963627,3710700
2014-09-24,81.849998,82.419998,80.879997,81.199997,63.101036,4751700
2014-10-01,81.000000,81.510002,79.400002,79.699997,62.295635,4565900
2014-10-08,79.739998,81.129997,77.290001,77.580002,60.638596,6241000
2014-10-15,76.680000,79.769997,74.970001,79.669998,62.272186,6475400
2014-10-22,79.870003,81.339996,79.169998,81.339996,63.577526,4735300
2014-10-29,81.489998,82.970001,80.750000,82.519997,64.499847,5473000
2014-11-05,83.160004,84.019997,82.709999,83.870003,65.555023,4580900
2014-11-12,83.529999,84.559998,83.410004,84.370003,65.945831,4926700
2014-11-19,84.300003,85.320000,83.870003,84.820000,66.297562,2652100
2014-11-26,84.889999,85.070000,84.150002,84.980003,66.422638,2344300
