Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,92.750000,92.750000,91.389999,92.279999,83.275673,2750000
2014-01-08,92.379997,92.730003,91.059998,92.589996,83.555420,2695000
2014-01-15,92.790001,93.480003,92.610001,93.269997,84.169090,1881800
2014-01-22,93.300003,93.550003,89.389999,90.410004,81.588158,5969600
2014-01-29,89.650002,91.019997,88.019997,89.169998,80.469131,3512900
2014-02-05,88.790001,92.989998,88.110001,92.790001,83.735893,3150500
2014-02-12,92.930000,94.349998,92.250000,94.260002,85.062462,2932900
2014-02-19,93.949997,95.160004,93.389999,94.660004,85.423431,3048200
2014-02-26,94.860001,96.110001,93.860001,96.000000,86.632698,3206000
2014-03-05,96.010002,96.559998,95.180000,95.440002,86.127296,2874100
2014-03-12,95.059998,95.809998,93.809998,95.529999,86.208542,4577600
2014-03-19,95.559998,95.589996,93.089996,93.610001,84.475868,3895500
2014-03-26,93.989998,94.580002,91.839996,94.570000,85.593521,2771900
2014-04-02,94.800003,95.010002,91.040001,92.099998,83.357979,3652300
2014-04-09,92.410004,93.459999,89.690002,91.360001,82.688217,3348400
2014-04-16,92.010002,94.070000,91.559998,93.779999,84.878494,1772200
2014-04-23,93.800003,94.250000,91.389999,93.220001,84.371658,3421100
2014-04-30,93.050003,94.360001,92.750000,93.349998,84.489334,3253000
2014-05-07,93.639999,95.070000,92.449997,94.639999,85.656883,1712200
2014-05-14,94.519997,94.699997,92.760002,93.839996,84.932808,2298500
2014-05-21,93.959999,96.470001,93.959999,96.440002,87.286018,2774300
2014-05-28,96.459999,97.000000,96.019997,96.839996,87.648048,2386600
2014-06-04,96.629997,98.629997,96.430000,98.250000,88.924202,1867000
2014-06-11,98.000000,98.230003,96.900002,97.760002,88.480728,2567700
2014-06-18,97.769997,98.820000,97.559998,97.760002,88.480728,2100100
2014-06-25,97.629997,99.989998,97.629997,99.730003,90.516197,2222300
2014-07-02,99.820000,100.339996,98.529999,98.930000,89.790092,1500300
2014-07-09,99.120003,99.980003,98.239998,99.279999,90.107765,2063500
2014-07-16,99.680000,99.800003,97.739998,99.570000,90.370972,2174500
2014-07-23,99.739998,100.129997,98.709999,99.080002,89.926277,1885100
2014-07-30,99.419998,99.669998,96.529999,97.000000,88.038422,3093600
2014-08-06,96.500000,98.489998,96.300003,97.809998,88.773582,2679000
2014-08-13,98.139999,100.959999,98.089996,100.860001,91.541794,2854200
2014-08-20,100.709999,102.019997,100.669998,101.849998,92.440346,2944600
