Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,122.070000,122.370003,120.550003,122.059998,113.068398,1089200
2014-01-08,122.099998,123.139999,120.730003,123.059998,113.994728,632600
2014-01-15,123.300003,124.449997,123.230003,124.040001,114.902527,660800
2014-01-22,124.110001,124.970001,118.400002,120.820000,111.919746,906600
2014-01-29,119.860001,121.800003,116.500000,118.050003,109.353775,982700
2014-02-05,117.410004,121.889999,115.699997,121.589996,112.633011,962400
2014-02-12,121.870003,125.230003,121.059998,125.139999,115.921501,798900
2014-02-19,124.550003,127.440002,123.839996,126.699997,117.366600,995500
2014-02-26,126.860001,129.649994,125.070000,129.309998,119.784317,1122100
2014-03-05,129.250000,129.500000,126.290001,126.730003,117.394379,661800
2014-03-12,126.029999,128.580002,124.930000,128.559998,119.089592,831400
2014-03-19,128.669998,128.669998,123.739998,124.709999,115.523170,865000
2014-03-26,125.279999,125.889999,121.370003,125.800003,116.548752,926700
2014-04-02,126.250000,126.379997,118.989998,120.820000,111.934982,1349400
2014-04-09,121.279999,122.919998,115.949997,118.459999,109.748535,936700
2014-04-16,119.430000,122.769997,118.750000,122.470001,113.463654,849500
2014-04-23,122.309998,122.440002,116.269997,118.849998,110.109840,1141200
2014-04-30,118.540001,120.699997,117.730003,118.059998,109.377945,664200
2014-05-07,118.080002,120.129997,115.660004,118.639999,109.915283,654800
2014-05-14,118.410004,118.730003,114.949997,116.879997,108.284721,1275400
2014-05-21,117.290001,121.209999,116.559998,121.129997,112.222168,430000
2014-05-28,121.000000,121.089996,119.029999,120.019997,111.193802,434200
2014-06-04,119.599998,124.860001,119.129997,123.879997,114.769943,641000
2014-06-11,123.239998,125.510002,122.410004,125.129997,115.928017,476100
2014-06-18,125.150002,127.190002,124.669998,125.269997,116.057716,511400
2014-06-25,124.660004,129.110001,124.519997,128.449997,119.003853,559900
2014-07-02,128.500000,128.820007,124.070000,124.790001,115.613052,487900
2014-07-09,125.019997,125.470001,122.449997,123.430000,114.353035,479500
2014-07-16,124.029999,124.400002,121.529999,123.910004,114.797722,570700
2014-07-23,124.440002,124.980003,122.190002,123.260002,114.195557,445100
2014-07-30,124.000000,124.059998,119.190002,120.709999,111.833069,866000
2014-08-06,119.910004,123.010002,119.699997,121.489998,112.555695,411200
2014-08-13,121.809998,125.139999,121.570000,125.120003,115.918755,540400
2014-08-20,124.570000,126.699997,124.160004,126.580002,117.271400,379200
2014-08-27,126.610001,127.120003,125.099998,126.900002,117.567863,284500
2014-09-03,127.379997,127.400002,124.760002,125.000000,115.807556,447100
2014-09-10,125.080002,126.470001,123.300003,124.480003,115.325813,402000
2014-09-17,124.639999,125.879997,121.410004,121.440002,112.509377,483000
2014-09-24,121.660004,122.620003,120.279999,120.349998,111.499535,573700
2014-10-01,120.279999,120.650002,117.010002,117.169998,108.553398,697500
2014-10-08,117.000000,119.099998,112.050003,113.400002,105.060638,989900
2014-10-15,112.260002,119.949997,111.209999,119.870003,111.054840,1184700
2014-10-22,120.190002,122.790001,118.269997,122.760002,113.732315,553200
2014-10-29,122.900002,125.870003,121.580002,124.120003,114.992302,715400
2014-11-05,124.959999,125.849998,123.610001,125.709999,116.465363,481500
2014-11-12,125.099998,126.389999,124.500000,125.470001,116.243011,475500
2014-11-19,125.339996,128.160004,123.809998,127.370003,118.003273,449200
2014-11-26,127.370003,127.820000,124.230003,124.989998,115.798309,292700
2014-12-03,125.150002,126.639999,122.820000,125.860001,116.604324,580200
2014-12-10,125.500000,125.699997,120.540001,120.949997,112.055389,666800
2014-12-17,121.050003,127.269997,121.050003,126.110001,116.835938,595400
2014-12-24,126.309998,127.690002,126.080002,126.690002,118.543335,421700
2014-12-31,127.000000,127.589996,121.349998,122.250000,114.388824,809700
2015-01-07,123.220001,127.089996,122.940002,125.010002,116.971382,721300
2015-01-14,123.660004,125.139999,122.309998,124.120003,116.138596,531300
2015-01-21,123.809998,127.720001,123.349998,127.150002,118.973755,673100
2015-01-28,127.800003,127.860001,123.330002,127.739998,119.525803,701500
2015-02-04,126.790001,129.330002,126.790001,128.589996,120.321136,579700
2015-02-11,128.389999,131.529999,127.889999,131.270004,122.828842,695000
2015-02-18,131.149994,132.630005,130.910004,132.339996,123.830048,692900
2015-02-25,132.559998,133.369995,132.000000,132.729996,124.194916,552400
2015-03-04,132.229996,132.899994,129.509995,129.910004,121.556244,617300
2015-03-11,130.210007,133.210007,129.539993,133.059998,124.503754,629600
2015-03-18,132.779999,135.759995,132.399994,134.750000,126.085052,667300
2015-03-25,134.970001,135.020004,130.809998,131.779999,123.306015,681400
2015-04-01,133.100006,135.000000,132.190002,133.839996,125.261475,1760000
2015-04-08,133.889999,135.889999,133.660004,135.029999,126.375137,785500
2015-04-15,135.610001,136.350006,133.449997,135.210007,126.543640,1028200
2015-04-22,135.250000,136.649994,132.820007,134.509995,125.888458,822500
2015-04-29,133.820007,134.160004,130.149994,130.380005,122.023239,1003900
2015-05-06,131.070007,133.850006,129.889999,132.850006,124.334908,727800
2015-05-13,133.320007,135.649994,132.600006,135.270004,126.599792,1466400
2015-05-20,135.610001,135.869995,133.710007,134.149994,125.551575,357600
2015-05-27,134.289993,135.600006,133.789993,134.949997,126.300247,1567000
2015-06-03,135.240005,136.130005,133.259995,134.250000,125.645203,885900
2015-06-10,134.699997,136.399994,134.000000,136.169998,127.442093,434500
2015-06-17,136.479996,138.600006,135.770004,138.419998,129.547928,526100
2015-06-24,138.139999,138.360001,133.139999,134.240005,125.635811,624700
2015-07-01,135.580002,135.580002,131.600006,134.220001,125.617119,2147700
