Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,97.180000,97.180000,96.000000,96.680000,78.731689,907400
2014-01-08,96.779999,97.540001,96.019997,97.370003,79.293594,760400
2014-01-15,97.529999,98.209999,97.320000,97.879997,79.708900,711700
2014-01-22,97.930000,98.360001,93.620003,95.010002,77.371681,1558600
2014-01-29,94.459999,95.470001,91.349998,92.370003,75.221817,990200
2014-02-05,91.940002,95.190002,91.150002,94.949997,77.322868,768800
2014-02-12,95.080002,97.440002,94.430000,97.309998,79.244713,820300
2014-02-19,97.019997,98.650002,96.349998,98.120003,79.904350,697400
2014-02-26,98.120003,100.879997,97.959999,100.599998,81.923950,893600
2014-03-05,100.570000,101.279999,99.470001,99.699997,81.191025,608200
2014-03-12,99.180000,101.000000,98.470001,100.940002,82.200851,835100
2014-03-19,101.010002,101.839996,99.510002,100.169998,81.573784,1147300
2014-03-26,100.650002,101.669998,98.250000,101.599998,82.758179,849100
2014-04-02,101.849998,102.610001,98.330002,99.320000,80.901016,1461000
2014-04-09,99.570000,100.379997,96.419998,97.949997,79.785057,865200
2014-04-16,98.589996,100.750000,98.199997,100.470001,81.837723,537700
2014-04-23,100.389999,100.809998,97.650002,98.839996,80.509987,729400
2014-04-30,98.680000,100.720001,98.260002,98.669998,80.371529,712000
2014-05-07,99.000000,100.989998,97.919998,100.209999,81.625946,546700
2014-05-14,100.000000,100.019997,97.120003,98.339996,80.102730,1292600
2014-05-21,98.930000,101.320000,98.089996,101.080002,82.334579,588700
2014-05-28,100.959999,101.400002,100.419998,101.139999,82.383476,573500
2014-06-04,100.839996,104.699997,100.800003,104.150002,84.835258,870300
2014-06-11,103.769997,104.480003,102.669998,104.160004,84.843407,774400
2014-06-18,104.040001,105.410004,103.750000,104.000000,84.713074,758500
2014-06-25,103.510002,106.949997,103.320000,106.260002,86.553955,793500
2014-07-02,106.300003,106.589996,104.169998,104.639999,85.234390,562300
2014-07-09,104.949997,105.160004,102.900002,103.839996,84.582741,504300
2014-07-16,104.300003,104.379997,102.360001,104.040001,84.745667,563500
2014-07-23,104.080002,104.349998,102.230003,102.410004,83.417953,578700
2014-07-30,103.000000,103.110001,99.559998,100.389999,81.772552,853300
2014-08-06,99.889999,102.570000,99.889999,101.550003,82.717438,545400
2014-08-13,101.900002,104.559998,101.750000,104.430000,85.063332,545200
2014-08-20,103.889999,105.650002,103.860001,105.540001,85.967468,653000
2014-08-27,105.550003,106.320000,104.830002,106.070000,86.399185,763700
2014-09-03,106.550003,106.610001,104.580002,104.669998,85.258804,595200
2014-09-10,104.610001,105.540001,103.510002,104.360001,85.006317,578900
2014-09-17,104.419998,105.379997,101.510002,101.510002,82.684845,665100
2014-09-24,101.540001,102.099998,99.739998,99.739998,81.243103,763700
2014-10-01,99.500000,100.000000,97.470001,97.699997,79.581413,1130000
2014-10-08,97.519997,99.279999,94.720001,95.669998,77.927856,1242600
2014-10-15,94.540001,100.209999,93.449997,100.120003,81.552635,1605000
2014-10-22,100.379997,102.919998,99.120003,102.919998,83.833366,811900
2014-10-29,103.089996,105.300003,102.010002,104.180000,84.859673,1366700
2014-11-05,104.970001,105.750000,104.330002,105.500000,85.934883,831400
2014-11-12,105.169998,106.169998,104.800003,105.470001,85.910469,700500
2014-11-19,105.430000,107.099998,104.269997,106.779999,86.977501,705100
2014-11-26,106.820000,106.989998,104.389999,105.239998,85.723129,535000
2014-12-03,105.239998,106.860001,104.129997,106.279999,86.570267,1088700
2014-12-10,105.980003,105.980003,101.500000,102.000000,83.083969,1039800
2014-12-17,102.129997,106.870003,102.120003,105.940002,86.293320,1193200
2014-12-24,106.339996,107.459999,105.730003,106.709999,88.451424,1044900
2014-12-31,107.099998,107.220001,101.559998,102.099998,84.630165,1322600
2015-01-07,102.980003,104.809998,102.000000,103.040001,85.409325,1314700
2015-01-14,101.970001,103.139999,101.150002,102.139999,84.663353,809800
2015-01-21,101.949997,105.099998,101.589996,104.430000,86.561516,1136800
2015-01-28,104.889999,105.540001,101.260002,105.440002,87.398712,1501500
2015-02-04,105.040001,106.760002,104.750000,105.919998,87.796555,1019700
2015-02-11,105.839996,107.769997,105.269997,107.599998,89.189117,777700
2015-02-18,107.419998,108.779999,106.860001,108.589996,90.009705,940600
2015-02-25,108.470001,108.879997,107.949997,108.300003,89.769356,864400
2015-03-04,107.940002,108.089996,105.360001,105.400002,87.365547,991600
2015-03-11,105.669998,108.220001,105.250000,108.139999,89.636696,802800
2015-03-18,107.900002,110.570000,107.739998,109.860001,91.062416,891100
2015-03-25,109.940002,110.099998,107.290001,109.400002,90.681129,984000
2015-04-01,109.269997,110.510002,108.339996,109.570000,90.884903,2314200
2015-04-08,109.870003,110.519997,109.089996,110.139999,91.357689,1245000
2015-04-15,110.599998,111.260002,108.750000,109.800003,91.075684,1209600
2015-04-22,109.849998,110.930000,108.919998,110.160004,91.374298,1079800
2015-04-29,109.800003,110.000000,107.550003,107.800003,89.416756,1624300
2015-05-06,108.029999,109.370003,107.160004,108.650002,90.121780,2189600
2015-05-13,108.959999,110.760002,108.449997,110.510002,91.664604,742100
2015-05-20,110.629997,110.980003,108.800003,109.099998,90.495056,600200
2015-05-27,109.370003,110.180000,108.849998,109.779999,91.059105,900600
2015-06-03,109.989998,110.669998,108.309998,108.650002,90.121780,2205500
2015-06-10,109.269997,110.540001,108.410004,110.019997,91.258141,1175700
2015-06-17,110.300003,111.599998,109.529999,111.580002,92.552124,701000
2015-06-24,111.419998,111.589996,107.589996,107.809998,89.425026,1067700
2015-07-01,108.360001,108.900002,106.139999,107.959999,89.549469,2788400
2015-07-08,107.220001,109.300003,105.900002,109.190002,90.569702,1082400
2015-07-15,109.169998,109.239998,107.089996,107.260002,88.968826,714500
2015-07-22,107.099998,107.559998,103.750000,105.250000,87.301613,1249600
2015-07-29,105.239998,107.300003,105.099998,106.209999,88.097878,828100
2015-08-05,106.580002,107.529999,104.910004,105.989998,87.915398,1810900
2015-08-12,105.370003,107.279999,104.199997,106.650002,88.462875,804900
2015-08-19,106.089996,106.269997,94.000000,96.559998,80.093513,2659700
2015-08-26,97.519997,102.150002,96.480003,98.790001,81.943253,1959100
2015-09-02,99.989998,101.629997,98.669998,101.559998,84.240852,1910000
2015-09-09,102.430000,102.449997,100.059998,101.870003,84.497993,1548500
2015-09-16,102.010002,104.220001,99.459999,99.980003,82.930298,908600
2015-09-23,100.199997,100.440002,95.080002,95.529999,79.239174,1390100
2015-09-30,96.330002,100.889999,95.309998,100.309998,84.170845,2047400
2015-10-07,100.760002,103.370003,100.330002,101.919998,85.521805,922300
2015-10-14,101.889999,103.349998,100.660004,102.919998,86.360901,842500
2015-10-21,103.250000,103.470001,101.250000,101.730003,85.362381,898400
2015-10-28,101.970001,105.779999,101.870003,105.290001,88.349579,941200
2015-11-04,105.580002,105.580002,103.519997,104.360001,87.569206,1016400
2015-11-11,104.580002,104.580002,100.470001,101.459999,85.135803,1196600
2015-11-18,101.860001,104.489998,101.599998,104.330002,87.544029,1045200
2015-11-25,104.410004,105.459999,104.150002,105.449997,88.483826,734600
2015-12-02,105.400002,105.400002,100.699997,101.269997,84.976349,1177400
2015-12-09,100.970001,102.199997,97.250000,99.080002,83.138756,1658300
2015-12-16,99.599998,100.639999,97.650002,99.400002,83.407257,1787600
2015-12-23,99.129997,100.690002,98.760002,100.599998,84.414154,1157800
2015-12-30,100.550003,100.690002,96.330002,97.540001,82.463753,1757400
2016-01-06,96.290001,96.750000,90.820000,92.169998,77.923744,2219700
2016-01-13,92.370003,92.709999,87.440002,88.389999,74.728004,1736000
2016-01-20,87.110001,90.230003,84.839996,90.160004,76.224442,3012500
2016-01-27,89.760002,92.800003,88.910004,90.410004,76.435799,1663900
2016-02-03,91.110001,92.730003,87.529999,88.370003,74.711098,2040200
2016-02-10,88.879997,90.470001,86.250000,90.400002,76.427322,1488800
2016-02-17,91.010002,93.010002,90.629997,91.879997,77.678574,1427200
2016-02-24,91.019997,95.669998,90.470001,95.669998,80.882782,826100
2016-03-02,95.589996,99.620003,95.430000,97.480003,82.413002,1295300
2016-03-09,97.980003,99.730003,96.790001,98.019997,82.869537,846500
2016-03-16,97.790001,101.519997,97.500000,100.989998,85.697365,1681700
2016-03-23,100.669998,101.720001,98.440002,101.720001,86.316826,1010000
2016-03-30,102.230003,102.410004,99.769997,99.849998,84.729988,1608300
2016-04-06,99.989998,101.550003,98.889999,101.400002,86.045296,909300
2016-04-13,101.980003,104.809998,101.849998,104.309998,88.514633,1169500
2016-04-20,104.260002,105.000000,103.180000,104.959999,89.066200,1930000
2016-04-27,104.989998,105.790001,102.440002,103.110001,87.496338,1405800
2016-05-04,102.650002,104.169998,102.089996,104.169998,88.395828,1915800
2016-05-11,103.930000,104.129997,101.339996,101.739998,86.333794,1041500
2016-05-18,101.529999,103.930000,100.300003,103.769997,88.056412,2799200
2016-05-25,104.000000,105.870003,103.919998,105.480003,89.507484,759200
2016-06-01,105.059998,108.050003,104.800003,107.760002,91.442215,5112800
2016-06-08,107.809998,108.379997,103.599998,104.209999,88.429771,1141300
2016-06-15,104.440002,106.339996,102.750000,105.430000,89.738647,3885300
2016-06-22,105.699997,107.050003,99.169998,101.339996,86.257332,3745200
2016-06-29,102.519997,106.070000,102.360001,104.000000,88.521446,1345200
2016-07-06,103.550003,109.379997,103.300003,108.980003,92.760284,2121700
2016-07-13,109.400002,109.750000,108.449997,109.059998,92.828369,1967600
2016-07-20,109.199997,110.139999,108.650002,110.110001,93.722107,1487900
2016-07-27,110.300003,110.550003,108.139999,108.419998,92.283615,1715100
2016-08-03,108.459999,111.110001,108.150002,110.620003,94.156204,1546000
2016-08-10,110.680000,111.489998,109.910004,110.400002,93.968941,1296600
2016-08-17,110.320000,111.940002,109.589996,111.669998,95.049911,1198800
2016-08-24,111.519997,111.930000,110.110001,111.370003,94.794571,949900
2016-08-31,111.339996,112.260002,109.910004,112.010002,95.339333,1140300
2016-09-07,111.989998,112.660004,107.580002,108.050003,91.968697,2614700
2016-09-14,108.220001,110.000000,107.500000,108.010002,91.934639,1088000
2016-09-21,108.470001,111.239998,108.260002,109.699997,93.935951,1151900
2016-09-28,109.989998,111.070000,108.970001,109.440002,93.713310,1870300
2016-10-05,109.870003,110.790001,108.010002,108.589996,92.985466,1310100
2016-10-12,108.669998,109.230003,107.300003,108.669998,93.053970,1021800
2016-10-19,108.900002,109.970001,107.919998,108.489998,92.899826,1393800
2016-10-26,107.970001,108.650002,105.500000,106.220001,90.956055,3540300
2016-11-02,105.989998,108.139999,104.940002,107.669998,92.197662,1937600
2016-11-09,106.860001,115.959999,106.860001,115.809998,99.167915,3265500
2016-11-16,115.550003,118.370003,115.250000,118.300003,101.300117,2145500
2016-11-23,118.190002,119.349998,117.830002,118.279999,101.282982,1576400
2016-11-30,119.080002,121.269997,118.000000,121.239998,103.817627,2670700
2016-12-07,121.320000,124.500000,121.160004,123.160004,105.461723,4163800
2016-12-14,122.900002,124.029999,121.139999,123.919998,106.112511,1917600
2016-12-21,123.800003,124.029999,121.379997,122.629997,105.007904,2280800
2016-12-28,122.870003,122.870003,120.690002,121.889999,105.051979,2936300
2017-01-04,122.279999,123.910004,121.089996,122.089996,105.224335,2888100
2017-01-11,122.300003,122.830002,120.430000,121.250000,104.500397,3797800
2017-01-18,121.419998,122.980003,120.190002,122.610001,105.672501,3838500
2017-01-25,123.410004,124.070000,120.250000,121.790001,104.965782,2377400
2017-02-01,122.510002,123.220001,121.150002,121.940002,105.095062,2491300
2017-02-08,121.610001,124.930000,120.959999,124.820000,107.577225,2265100
2017-02-15,124.489998,126.070000,124.129997,126.040001,108.628685,1549900
2017-02-22,125.870003,126.040001,123.739998,124.239998,107.077354,2385300
2017-03-01,125.639999,126.680000,123.029999,123.120003,106.112076,2240700
2017-03-08,123.339996,123.620003,121.080002,122.000000,105.146759,3366800
2017-03-15,122.570000,124.339996,120.410004,120.510002,103.862625,2746300
2017-03-22,120.239998,121.750000,118.559998,121.309998,104.552094,2225400
2017-03-29,121.320000,123.339996,120.879997,121.730003,105.329376,2239600
2017-04-05,122.440002,122.970001,120.349998,122.790001,106.246574,2065200
2017-04-12,122.629997,122.629997,119.680000,121.110001,104.792900,1256600
