Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,3.028000,3.034000,2.937000,2.937000,2.937000,0
2014-01-08,2.984000,3.010000,2.819000,2.869000,2.869000,0
2014-01-15,2.864000,2.912000,2.819000,2.825000,2.825000,0
2014-01-22,2.849000,2.860000,2.717000,2.746000,2.746000,0
2014-01-29,2.755000,2.761000,2.579000,2.624000,2.624000,0
2014-02-05,2.608000,2.733000,2.599000,2.719000,2.719000,0
2014-02-12,2.742000,2.777000,2.696000,2.711000,2.711000,0
2014-02-19,2.682000,2.781000,2.675000,2.701000,2.701000,0
2014-02-26,2.710000,2.717000,2.596000,2.691000,2.691000,0
2014-03-05,2.700000,2.821000,2.680000,2.766000,2.766000,0
2014-03-12,2.752000,2.755000,2.610000,2.681000,2.681000,0
2014-03-19,2.683000,2.793000,2.681000,2.735000,2.735000,0
2014-03-26,2.755000,2.768000,2.659000,2.759000,2.759000,0
2014-04-02,2.779000,2.808000,2.675000,2.681000,2.681000,0
2014-04-09,2.706000,2.723000,2.596000,2.628000,2.628000,0
2014-04-16,2.648000,2.748000,2.635000,2.726000,2.726000,0
2014-04-23,2.697000,2.733000,2.644000,2.695000,2.695000,0
2014-04-30,2.711000,2.711000,2.572000,2.595000,2.595000,0
2014-05-07,2.611000,2.663000,2.577000,2.618000,2.618000,0
2014-05-14,2.571000,2.586000,2.473000,2.509000,2.509000,0
2014-05-21,2.530000,2.562000,2.514000,2.518000,2.518000,0
2014-05-28,2.498000,2.595000,2.402000,2.593000,2.593000,0
2014-06-04,2.580000,2.651000,2.530000,2.635000,2.635000,0
2014-06-11,2.635000,2.655000,2.579000,2.655000,2.655000,0
2014-06-18,2.650000,2.659000,2.564000,2.586000,2.586000,0
2014-06-25,2.572000,2.572000,2.507000,2.563000,2.563000,0
2014-07-02,2.588000,2.692000,2.556000,2.565000,2.565000,0
2014-07-09,2.578000,2.601000,2.494000,2.549000,2.549000,0
2014-07-16,2.554000,2.567000,2.448000,2.466000,2.466000,0
