Holdings details

Value ETF (VTV)


Equity,as of 02/29/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2588184,Micron Technology Inc,MU,0.51%,Semiconductors & Semiconductor Equipment,US,---,"$830,953,321.38","9,170,658"
,B8CKK03,Mondelez International Inc,MDLZ,0.51%,Food Products,US,---,"$830,609,560.91","11,367,313"
,BHJ0775,Cigna Group/The,CI,0.51%,Health Care Providers & Services,US,---,"$821,637,758.48","2,444,332"
,2730190,Regeneron Pharmaceuticals Inc,REGN,0.51%,Biotechnology,US,---,"$821,192,923.53","850,017"
,2577609,CVS Health Corp,CVS,0.49%,Health Care Providers & Services,US,---,"$799,528,815.30","10,750,690"
,2032067,Analog Devices Inc,ADI,0.49%,Semiconductors & Semiconductor Equipment,US,---,"$794,829,380.22","4,143,621"
,2779397,Charles Schwab Corp/The,SCHW,0.49%,Capital Markets,US,---,"$790,506,714.06","11,837,477"
,2261203,Deere & Co,DE,0.49%,Machinery,US,---,"$790,386,912.35","2,165,147"
,2369174,Gilead Sciences Inc,GILD,0.46%,Biotechnology,US,---,"$750,615,579.70","10,410,757"
,2937667,Waste Management Inc,WM,0.43%,Commercial Services & Supplies,US,---,"$691,687,117.35","3,363,419"
,2965839,CME Group Inc,CME,0.41%,Capital Markets,US,---,"$662,512,462.95","3,006,637"
,BFSSDS9,Intercontinental Exchange Inc,ICE,0.41%,Capital Markets,US,---,"$661,670,300.88","4,780,164"
,2160753,CSX Corp,CSX,0.39%,Ground Transportation,US,---,"$626,145,028.46","16,503,559"
,2457552,Illinois Tool Works Inc,ITW,0.39%,Machinery,US,---,"$625,929,263.40","2,387,676"
,2829601,Southern Co/The,SO,0.38%,Electric Utilities,US,---,"$612,972,922.75","9,114,839"
,2692632,Altria Group Inc,MO,0.37%,Tobacco,US,---,"$603,263,155.55","14,746,105"
,B7VD3F2,Duke Energy Corp,DUK,0.36%,Electric Utilities,US,---,"$591,284,370.66","6,438,902"
,2259101,Target Corp,TGT,0.36%,Consumer Staples Distribution & Retail,US,---,"$589,650,038.96","3,855,938"
,2378534,McKesson Corp,MCK,0.36%,Health Care Providers & Services,US,---,"$579,704,159.41","1,111,801"
,2671501,Parker-Hannifin Corp,PH,0.35%,Machinery,US,---,"$574,531,960.05","1,072,989"
