Date,Open,High,Low,Close,Adj Close,Volume,,,,
1/1/2014,97.18,97.18,96,96.68,78.731689,907400,,,,
1/8/2014,96.779999,97.540001,96.019997,97.370003,79.293579,760400,,,,
1/15/2014,97.529999,98.209999,97.32,97.879997,79.708893,711700,,,,
1/22/2014,97.93,98.360001,93.620003,95.010002,77.371735,1558600,,,,
1/29/2014,94.459999,95.470001,91.349998,92.370003,75.221809,990200,,,,
2/5/2014,91.940002,95.190002,91.150002,94.949997,77.322845,768800,,,,
2/12/2014,95.080002,97.440002,94.43,97.309998,79.244705,820300,,,,
2/19/2014,97.019997,98.650002,96.349998,98.120003,79.904327,697400,,,,
2/26/2014,98.120003,100.879997,97.959999,100.599998,81.92392,893600,,,,
3/5/2014,100.57,101.279999,99.470001,99.699997,81.191025,608200,,,,
3/12/2014,99.18,101,98.470001,100.940002,82.200829,835100,,,,
3/19/2014,101.010002,101.839996,99.510002,100.169998,81.573784,1147300,,,,
3/26/2014,100.650002,101.669998,98.25,101.599998,82.758156,849100,,,,
4/2/2014,101.849998,102.610001,98.330002,99.32,80.900986,1461000,,,,
4/9/2014,99.57,100.379997,96.419998,97.949997,79.785049,865200,,,,
4/16/2014,98.589996,100.75,98.199997,100.470001,81.837715,537700,,,,
4/23/2014,100.389999,100.809998,97.650002,98.839996,80.510017,729400,,,,
4/30/2014,98.68,100.720001,98.260002,98.669998,80.371521,712000,,,,
5/7/2014,99,100.989998,97.919998,100.209999,81.625946,546700,,,,
5/14/2014,100,100.019997,97.120003,98.339996,80.10273,1292600,,,,
5/21/2014,98.93,101.32,98.089996,101.080002,82.334595,588700,,,,
5/28/2014,100.959999,101.400002,100.419998,101.139999,82.383469,573500,,,,
6/4/2014,100.839996,104.699997,100.800003,104.150002,84.835266,870300,,,,
6/11/2014,103.769997,104.480003,102.669998,104.160004,84.843391,774400,,,,
6/18/2014,104.040001,105.410004,103.75,104,84.713081,758500,,,,
6/25/2014,103.510002,106.949997,103.32,106.260002,86.553955,793500,,,,
7/2/2014,106.300003,106.589996,104.169998,104.639999,85.234383,562300,,,,
7/9/2014,104.949997,105.160004,102.900002,103.839996,84.582764,504300,,,,
7/16/2014,104.300003,104.379997,102.360001,104.040001,84.745659,563500,,,,
7/23/2014,104.080002,104.349998,102.230003,102.410004,83.417946,578700,,,,
7/30/2014,103,103.110001,99.559998,100.389999,81.77256,853300,,,,
8/6/2014,99.889999,102.57,99.889999,101.550003,82.71743,545400,,,,
8/13/2014,101.900002,104.559998,101.75,104.43,85.063347,545200,,,,
8/20/2014,103.889999,105.650002,103.860001,105.540001,85.967499,653000,,,,
8/27/2014,105.550003,106.32,104.830002,106.07,86.399185,763700,,,,
9/3/2014,106.550003,106.610001,104.580002,104.669998,85.258827,595200,,,,
9/10/2014,104.610001,105.540001,103.510002,104.360001,85.00631,578900,,,,
9/17/2014,104.419998,105.379997,101.510002,101.510002,82.684845,665100,,,,
9/24/2014,101.540001,102.099998,99.739998,99.739998,81.243103,763700,,,,
10/1/2014,99.5,100,97.470001,97.699997,79.581421,1130000,,,,
10/8/2014,97.519997,99.279999,94.720001,95.669998,77.927879,1242600,,,,
10/15/2014,94.540001,100.209999,93.449997,100.120003,81.552628,1605000,,,,
10/22/2014,100.379997,102.919998,99.120003,102.919998,83.833328,811900,,,,
10/29/2014,103.089996,105.300003,102.010002,104.18,84.859665,1366700,,,,
11/5/2014,104.970001,105.75,104.330002,105.5,85.934891,831400,,,,
11/12/2014,105.169998,106.169998,104.800003,105.470001,85.910461,700500,,,,
11/19/2014,105.43,107.099998,104.269997,106.779999,86.977516,705100,,,,
11/26/2014,106.82,106.989998,104.389999,105.239998,85.723099,535000,,,,
12/3/2014,105.239998,106.860001,104.129997,106.279999,86.570236,1088700,,,,
12/10/2014,105.980003,105.980003,101.5,102,83.083984,1039800,,,,
12/17/2014,102.129997,106.870003,102.120003,105.940002,86.293312,1193200,,,,
12/24/2014,106.339996,107.459999,105.730003,106.709999,88.451363,1044900,,,,
